# Golden control set: the control points that
# perimeter.build_perimeter_gcps(gray, seeds, per_edge=60) emits for
# out/working_a.png with data/corner_seeds.json. Columns are lon,lat,px,py -
# geography first, because the comparison is keyed on it; perimeter itself
# returns the tuples as (px, py, lon, lat).
#
# This file is an expectation, not an input: nothing in the pipeline reads it.
# It exists so that a change to a tracing constant large enough to move a
# control point 0.25 px fails a test instead of silently moving all 123
# published pins. See tests/test_perimeter.py.
#
# Regenerate deliberately, never to make a test pass, with the snippet in
# tests/test_perimeter.py::test_gcps_match_the_committed_golden_control_set.
lon,lat,px,py
-112.133972222,37.000000000,1327.6732,3487.4779
-112.217305556,37.000000000,1288.9521,3485.5530
-112.300638889,37.000000000,1250.2267,3483.7159
-112.383972222,37.000000000,1211.5152,3481.6068
-112.467305556,37.000000000,1172.8251,3479.1430
-112.550638889,37.000000000,1134.1511,3476.4333
-112.633972222,37.000000000,1095.4776,3473.7196
-112.717305556,37.000000000,1056.8055,3470.9847
-112.800638889,37.000000000,1018.1423,3468.1235
-112.883972222,37.000000000,979.4842,3465.1997
-112.967305556,37.000000000,940.8271,3462.2594
-113.050638889,37.000000000,902.1692,3459.3290
-113.133972222,37.000000000,863.5249,3456.2295
-113.217305556,37.000000000,824.8950,3452.9615
-113.300638889,37.000000000,786.2421,3450.0000
-113.800638889,37.000000000,555.0620,3424.5892
-113.883972222,37.000000000,516.9251,3417.6552
-114.050638889,37.000000000,440.1053,3411.8411
-114.050638889,37.083333333,440.5080,3364.1150
-114.050638889,37.166666667,442.0645,3316.3900
-114.050638889,37.250000000,443.5534,3268.6631
-114.050638889,37.333333333,444.9187,3220.9324
-114.050638889,37.416666667,446.1270,3173.1974
-114.050638889,37.500000000,447.1837,3125.4586
-114.050638889,37.583333333,448.1524,3077.7181
-114.050638889,37.666666667,449.1434,3029.9781
-114.050638889,37.750000000,450.1887,2982.2394
-114.050638889,37.833333333,451.3899,2934.5044
-114.050638889,37.916666667,452.6969,2886.7722
-114.050638889,38.000000000,453.9139,2839.0376
-114.050638889,38.083333333,455.0687,2791.3012
-114.050638889,38.166666667,456.3055,2743.5670
-114.050638889,38.250000000,457.6389,2695.8352
-114.050638889,38.333333333,459.1168,2648.1079
-114.050638889,38.416666667,460.7888,2600.3870
-114.050638889,38.500000000,462.9005,2552.6847
-114.050638889,38.583333333,464.6471,2504.9665
-114.050638889,38.666666667,466.3592,2457.2475
-114.050638889,38.750000000,468.0555,2409.5288
-114.050638889,38.833333333,470.0251,2361.8190
-114.050638889,38.916666667,472.0679,2314.1123
-114.050638889,39.000000000,473.9879,2266.4010
-114.050638889,39.333333333,481.9974,2075.5785
-114.050638889,39.416666667,484.5162,2027.8969
-114.050638889,39.500000000,486.6825,1980.1959
-114.050638889,39.583333333,488.8940,1932.4967
-114.050638889,39.666666667,491.0897,1884.7968
-114.050638889,39.750000000,493.2614,1837.0958
-114.050638889,39.833333333,495.4284,1789.3947
-114.050638889,39.916666667,497.6089,1741.6942
-114.050638889,40.000000000,499.6968,1693.9897
-114.050638889,40.083333333,501.8694,1646.2891
-114.050638889,40.166666667,504.1487,1598.5935
-114.050638889,40.250000000,506.4386,1550.8983
-114.050638889,40.333333333,508.7974,1503.2064
-114.050638889,40.416666667,511.1109,1455.5122
-114.050638889,40.500000000,513.5309,1407.8234
-114.050638889,40.583333333,515.9879,1360.1364
-114.050638889,40.666666667,519.0173,1312.4884
-114.050638889,40.916666667,527.0829,1169.4700
-114.050638889,41.000000000,529.6413,1121.7910
-114.050638889,41.083333333,532.3694,1074.1215
-114.050638889,41.333333333,541.4069,931.1567
-114.050638889,41.416666667,544.3096,883.4953
-114.050638889,41.500000000,547.0574,835.8253
-114.050638889,41.583333333,549.8669,788.1579
-114.050638889,41.666666667,552.9805,740.5109
-114.050638889,41.833333333,558.6872,645.1811
-114.050638889,41.916666667,561.4136,597.5100
