Map Name,Series ID,Published GIS Uploaded to Postgres,Publication Year,Vector GIS Published,Tabular GIS Altered,Unit Symbol Source,Unit Name Source,Unit Description Source,Unit Age Source,Notes,genesis Source,composition Source,source Source,confidence Source
Vernal NW Quad,BYU_SA-6564_Vernal_NW,FALSE,2017,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Gooseberry Creek Quad,OFR-641,FALSE,2016,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
Kelton Pass SE Monument Peak SW Quad,MP-16-1DM,FALSE,2016,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Internal GIS Database,,,,,
Short Canyon Quad,M-255DM,FALSE,2013,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Copied from PDF,,,,,
Provo Quad,M-233,FALSE,2009,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Copied from PDF,,,,,
Loa East Quad,OFR-489,FALSE,2007,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Internal GIS Database,,,,,
Beaver Quad,OFR-454,FALSE,2005,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
Thermo Quad,GQ-1493,FALSE,1978,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Blanding North Quad,OFR-771DM,FALSE,2025,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Francis Quad,OFR-770DM,FALSE,2025,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Huntsville Quad,OFR-772DM,FALSE,2025,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Salt Lake City North Quad,OFR-768DM,FALSE,2024,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Cedar City Quad,M-302dm,FALSE,2024,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Duchesne Quad,M-300DM,TRUE,2024,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Jarvis Peak Quad,OFR-753DR,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Clifton Quad,OFR-752DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Rill Creek Kane Springs Quad,MP-175DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
